id,수온,염분,용존무기질,암모니아성,아질산성질,수소이온농,부유물질 ,규산염,화학적산소,투명도,질소,질산성질소,인산염인,클로로필,용존산소,총인,자갈,모래,실트,점토,평균,분급,IL,AVS,TOC,출현 종수,서식밀도,생체량,다양도,ISEP,target
316,26.54585089,32.30958333,66.10486789,14.31957567,6.9720824,8.971575222,11.72824611,304.8692378,1.9319582,2.790454989,272.3836878,44.81584244,9.331652589,4.019110356,8.383070711,27.49090444,2.132471589,21.01670478,53.76383667,23.08678978,5.896349933,2.240927567,3.902330533,0.012845768,0.575771438,13,1073,150.5999233,1.716036278,4.175251378,0
317,26.55484758,32.34954233,64.47418767,14.58971917,6.735794617,9.020834008,11.71447758,305.6791058,1.920417633,2.876129808,269.993845,43.1527395,9.233324617,4.005505342,8.381338058,27.34722333,2.389843983,22.40310342,52.48546175,22.72138708,5.810384617,2.225996567,3.86912515,0.012892105,0.569857727,13,1101,147.2916567,1.708048492,4.208229458,0
401,23.993582,31.3613105,27.37489642,12.25433248,2.251061583,8.153433083,7.006110225,156.5340142,1.819130258,2.505586992,199.3517342,12.94613549,7.153619192,5.250224108,8.500498817,21.55391742,0.562162782,55.12151825,35.55379583,8.762511567,4.1751855,1.632855908,2.9463227,0.006347229,0.383279329,13,1043,314.8407267,1.745837483,4.040575775,0
402,24.12854356,31.39271975,40.35746213,18.47226387,3.081621838,8.146589188,7.890393375,197.425405,1.868407231,2.515155319,215.3364625,18.86890611,9.20509565,5.1933815,8.329834669,25.00888625,0.54076179,53.37689025,36.54370869,9.538628944,4.292488094,1.756811906,3.134257575,0.007535124,0.411178642,13,1047,341.83653,1.77764005,3.969893613,0
403,24.30772342,31.44877325,57.61823492,26.81834433,4.17660125,8.137936633,9.0545084,253.578305,1.938230192,2.54445955,237.00143,26.67222233,11.98386225,5.12747085,8.093165008,29.80042008,0.552898035,53.36941333,36.06886558,10.00881313,4.344208742,1.827487017,3.242569683,0.008643747,0.427283631,14,1073,371.6488225,1.815196658,3.8888484,0
404,24.42817613,31.46782406,68.60136413,32.33549688,4.833750662,8.134206094,9.836982681,294.9092031,1.9998557,2.543497894,251.9276369,31.46906044,13.8978305,5.134882775,7.927745894,33.36282694,0.577163405,54.40063044,35.24850069,9.773693788,4.304954925,1.786574338,3.1859109,0.008317489,0.418336263,14,1088,365.0243531,1.832784512,3.890495619,0
405,24.54968492,31.50284942,74.27506692,35.3864215,5.137563183,8.13379115,10.27564292,321.8286392,2.048328175,2.531958492,260.7818025,33.77989275,15.03314083,5.183241558,7.824849308,35.72141717,0.615861297,55.57776675,34.57434133,9.2320157,4.227517975,1.699451142,3.057505075,0.007307605,0.399154744,14,1089,340.466965,1.835058175,3.942445367,0
494,26.523377,32.10841075,67.07332225,13.359781,7.142109156,8.907639175,11.6010875,299.3378775,1.919413775,2.642210538,273.6248544,46.57135031,9.350905406,3.9579469,8.39422145,27.307736,1.8914392,18.22130244,55.45896331,24.42812575,6.095645537,2.296204212,3.9967118,0.013993986,0.606476504,13,1040,166.3355338,1.797895987,4.123164675,0
495,26.5353245,32.20090008,64.99552883,13.71494825,6.870958092,8.96735055,11.60518142,299.4552892,1.910337475,2.733676875,270.8990483,44.41173325,9.201945017,3.959508317,8.401184933,27.15741158,2.254125783,20.36876783,53.65759225,23.719336,5.9554671,2.264707275,3.930422917,0.013730459,0.593029044,13,1073,158.6399575,1.776847258,4.174975575,0
496,26.54600419,32.2593415,63.0647095,13.99747163,6.607902681,9.020296388,11.59156094,299.5132819,1.897001219,2.821710106,268.1709269,42.46323,9.075903094,3.942640188,8.403016387,26.97771712,2.623257975,22.577355,51.82192331,22.97727606,5.810581494,2.232325806,3.863127763,0.013428641,0.578882736,13,1108,150.5302963,1.752937138,4.22863945,0
497,26.5556895,32.341579,61.31625567,14.238122,6.361050375,9.068371125,11.56894808,299.7642675,1.882301008,2.907829725,265.5775283,40.72245133,8.970467967,3.917086567,8.4010211,26.79353783,2.935272267,24.44316883,50.24976467,22.37159792,5.689469667,2.206664933,3.810683758,0.013227238,0.567544647,13,1140,144.0746983,1.732325667,4.273338775,0
578,23.86464367,31.25380489,46.34791322,20.697507,3.718105389,8.129750633,7.7166249,195.3909467,1.811253489,3.011262089,219.3438911,21.97970833,9.684595156,4.836563533,8.195527644,25.34542489,0.528143703,66.98832422,26.44926056,6.0342616,3.651125533,1.222593911,2.369817767,0.003999363,0.294220044,12,1113,314.44588,1.677625411,4.161942233,0
579,23.92468967,31.28936608,23.62122272,10.40242878,2.033027564,8.15349635,6.730063725,143.4040584,1.8011776,2.527985058,194.5234125,11.26459404,6.535188008,5.239769575,8.543635733,20.49767192,0.508014426,60.87737408,31.254942,7.3596599,3.91528305,1.42611665,2.661634142,0.004939206,0.338668734,13,1068,309.7876242,1.7036727,4.109956975,0
580,24.06554389,31.34223722,10.37440053,4.348311056,1.085097999,8.165758578,6.044062689,110.6151117,1.784143933,2.3392963,179.7281456,5.035358433,4.648845133,5.4271715,8.733106056,17.56725356,0.459443267,54.05107611,36.68522767,8.804245533,4.2055505,1.654800144,2.999538556,0.006078561,0.389559618,13,1005,313.7918822,1.721906789,4.062132589,0
581,24.22758342,31.3815695,29.95447892,13.62764011,2.375870883,8.152865708,7.2965628,169.083205,1.8465655,2.424191358,203.3336658,14.02642448,7.674605817,5.293450708,8.467319883,22.59573492,0.436694793,50.71880142,38.76513525,10.07936346,4.400364975,1.863279158,3.308394425,0.008116683,0.436315601,13,1003,359.7936058,1.758860358,3.983716575,0
582,24.41719544,31.44494022,53.14232389,24.79895644,3.865390722,8.139235556,8.825257389,243.15722,1.936362956,2.494498678,232.2712333,24.53022733,11.38037278,5.186173911,8.143598967,28.98169544,0.526452033,52.17236944,35.91813344,11.38304056,4.504513056,2.052506733,3.588999,0.012223606,0.479910758,15,1101,475.6383844,1.858612789,3.689499411,0
583,24.54232367,31.46974825,65.40975542,31.00355858,4.597499767,8.133999342,9.686559675,290.4269775,2.00990225,2.505418542,249.2716467,29.84605317,13.54379275,5.207691533,7.949799375,33.10922683,0.519582778,54.15526175,34.71358167,10.61156697,4.406107308,1.92309345,3.408631742,0.010488794,0.450111357,15,1117,430.2794608,1.874340283,3.749314492,0
584,24.66613333,31.504843,70.38758011,33.80979656,4.844260211,8.133325756,10.07753793,317.9033722,2.066057356,2.497420611,257.9292556,31.761365,14.62775856,5.2918753,7.843091078,35.56449022,0.524276023,56.16381222,33.96349133,9.348409989,4.2472928,1.729281,3.125797111,0.007586067,0.406432534,14,1104,356.4359389,1.863408189,3.912544022,0
585,24.7985525,31.47190058,70.80860217,34.42562817,4.8017236,8.135050675,10.16249017,331.3045175,2.1049877,2.487451033,261.0136325,31.60343058,15.00002242,5.392499425,7.794393858,36.81588342,0.603465622,57.53382,33.23385375,8.62884555,4.137897533,1.614564317,2.949262483,0.006383183,0.382140262,14,1096,328.03972,1.851455383,3.977947183,0
649,26.12900533,31.69855058,80.92655558,15.31556517,10.06422248,8.346135717,18.10861892,321.4316483,2.079092233,2.273641358,290.6566408,55.55540417,12.26574067,4.506769958,7.916143233,32.91587392,0.754831403,31.37937067,50.58722117,17.27834108,5.2407008,1.9459294,3.6121955,0.005530918,0.421908178,9,632,100.8266562,1.499340358,4.2006013,0
650,26.07110011,31.51067644,83.14592511,14.83964078,10.559682,8.351742844,18.13730567,323.2317167,2.106379444,2.212570056,294.2202622,57.75630789,12.13362367,4.462507967,7.960374211,32.55383844,0.425647076,27.69676678,53.88502289,17.992454,5.448589567,1.948813144,3.814119944,0.002833663,0.428813556,9,553,81.62011878,1.544081889,4.223283678,0
651,26.08868983,31.47327267,85.06873492,14.34302992,10.97829908,8.355393892,17.95720942,323.4498117,2.132413817,2.148986358,297.5858408,59.75840467,11.98724292,4.425824383,8.007055725,32.20643725,0.418179619,47.18573642,39.15187004,13.24416915,4.5060398,1.565600371,3.17046735,0.00148833,0.358804697,9,579,96.9549905,1.410328433,4.390860683,0
672,26.49511089,31.96712278,68.74143022,12.20863667,7.330639911,8.821417644,11.43009044,294.8328078,1.894558133,2.478418256,275.0021178,49.197593,9.479320722,3.849715622,8.385122289,27.10548178,1.384535567,13.38287533,58.43265444,26.79980833,6.449583378,2.394917678,4.179848389,0.016155748,0.661310103,15,979,198.9416733,1.937510044,4.005681989,0
673,26.51074883,32.03450942,66.14586617,12.715784,7.039853067,8.896775533,11.46847267,294.274535,1.894746408,2.581745208,272.1600992,46.38911875,9.251807375,3.8882993,8.406992058,26.97673,1.811128042,16.07692442,56.3274095,25.78439992,6.266831133,2.349330942,4.085671833,0.015509748,0.640417342,14,1014,186.2842683,1.90042715,4.073558117,0
674,26.52487011,32.112227,63.64216344,13.10644256,6.737800478,8.962750844,11.47694833,293.3794167,1.885440878,2.678350667,269.0530911,43.79963233,9.055857956,3.892623322,8.4208711,26.78554322,2.388280644,19.78703789,53.4815,24.34302644,6.012272944,2.285539444,3.954046833,0.014630788,0.610676684,14,1065,168.1998567,1.844717856,4.170269933,0
676,26.54846867,32.27463344,59.23681844,13.60390789,6.158966956,9.066907889,11.42688111,291.3664111,1.849729167,2.852810222,262.8237133,39.47953422,8.760590722,3.829119578,8.428400867,26.30094989,3.401626256,26.08964189,48.476738,22.03181444,5.588778178,2.182990911,3.743373422,0.013302513,0.564870851,13,1155,141.6719467,1.764377811,4.326917356,0
677,26.55823817,32.28662383,57.54424375,13.79757458,5.918273625,9.110618967,11.39326108,291.3144108,1.832313792,2.936432717,260.2148633,37.8352695,8.664372283,3.790150425,8.42405365,26.0896075,3.633175633,27.61067525,47.21928983,21.53667042,5.491017783,2.163190608,3.706524225,0.013148699,0.555324918,13,1186,136.0135683,1.7413312,4.362760292,0
756,23.95858581,31.1813245,64.36584938,28.69222513,5.043029562,8.10764615,8.855354481,237.9073575,1.858083644,3.049711444,238.7802825,30.66141512,12.11619512,4.578726519,7.971430938,28.92932619,0.395525759,79.83868225,16.23524172,3.530544316,3.133883394,0.862766083,1.908432969,0.002279346,0.219926828,12,1165,359.84837,1.636553838,4.1839419,0
757,24.01318508,31.24457333,55.23879583,24.770171,4.284005267,8.122463508,8.609384317,223.375905,1.861273392,2.792366275,229.8578558,26.230822,11.04846638,4.827363933,8.113350917,27.47037192,0.347149713,79.434652,16.4952778,3.722914988,3.158466775,0.896051434,1.966173292,0.002391248,0.227339606,12,1177,361.9062858,1.637084675,4.18182565,0
758,24.11892656,31.25758169,36.99702917,16.58590339,2.937836513,8.142249113,7.673044187,181.2322131,1.841822325,2.530215631,210.0866031,17.54119013,8.541840419,5.127399113,8.37268665,23.69611806,0.413251724,66.09751338,27.17874863,6.310479562,3.702242581,1.278311226,2.475935169,0.004007013,0.307806359,12,1098,318.6329069,1.675725219,4.141174106,0
760,24.63594975,31.28733925,40.48104831,18.63586981,3.065368188,8.144639594,8.026826031,201.5301063,1.885489281,2.439533081,216.2307338,18.84520791,9.336445487,5.230338263,8.322106975,25.41996269,0.274850109,45.43167844,44.45213069,9.841338669,4.484290044,1.844036025,3.289083,0.005631322,0.431110509,11,853,277.5225694,1.665773619,4.16306215,0
761,24.73871658,31.42881092,57.17339583,26.84967458,4.1060571,8.135244992,9.156626892,259.184315,1.965252383,2.473075317,238.0196942,26.26483167,12.11696542,5.199321967,8.076679733,30.4489335,0.467951915,50.09466358,36.23914825,13.19823517,4.736271842,2.309636383,3.91422955,0.014001507,0.527451871,16,1185,483.0733175,1.938527392,3.570651925,0
762,24.84578175,31.45808856,65.1898895,31.14794563,4.5434069,8.132148062,9.741487144,296.9047925,2.036982481,2.473334456,250.6537544,29.53250638,13.691541,5.286348906,7.925044456,33.81674875,0.421512862,54.865468,33.91724806,10.79576735,4.44313475,1.953982469,3.482673263,0.010651925,0.454265983,15,1166,435.3397625,1.922931056,3.753639737,0
763,24.99342533,31.50556283,66.43966125,32.29413183,4.53005835,8.132916467,9.888104817,317.256765,2.096539692,2.459442142,255.7545633,29.64023958,14.26916825,5.447481117,7.848191117,35.706593,0.406069574,57.88058383,32.868028,8.845311275,4.196004442,1.667582017,3.074592867,0.00669181,0.392082206,15,1111,347.9303175,1.89980655,3.96808145,0
764,25.10471588,31.47328406,63.36513625,31.33491006,4.245647256,8.135599294,9.745747462,324.4228325,2.14089065,2.443262706,255.5860494,27.80345362,14.15812894,5.632187738,7.824575844,36.44332575,0.518681727,59.30212,31.99987825,8.179308031,4.078247625,1.559034925,2.897946913,0.005762151,0.372096004,14,1101,327.8558919,1.874296575,3.990215306,0
826,26.56415531,31.84084431,75.49556731,15.08430906,9.103550225,8.296288631,18.19212275,311.2233888,1.999376713,2.368748319,281.6578531,51.31432512,12.46106906,4.591040988,7.793055113,33.46580756,1.555373681,32.41898562,48.27960325,17.74548825,5.143626681,2.082844419,3.541666275,0.012908144,0.438943796,10,769,144.2180244,1.538546631,4.151658563,0
827,26.46946808,31.70290625,78.40923775,14.68912,9.758624875,8.305510742,18.663791,316.7479783,2.031251675,2.30838775,285.7957267,53.96899275,12.37817533,4.522276008,7.833232392,33.07760167,1.273681475,32.21891008,48.9483805,17.55858133,5.1706658,2.033215025,3.533979867,0.010319256,0.431039035,10,731,128.74779,1.50437485,4.172570358,0
828,26.41143269,31.64204638,81.54207413,14.28178888,10.44540351,8.313254537,19.01759762,322.1354538,2.065709206,2.236485575,290.2868394,56.82343075,12.31471263,4.454025475,7.871976356,32.73387088,0.948661818,31.67645456,49.99759994,17.37696694,5.215495956,1.980507731,3.533713081,0.007446706,0.420456697,9,680,114.5403174,1.473255569,4.18892295,0
829,26.36541758,31.57731658,84.5255265,13.85092375,11.08675267,8.31910235,19.18014733,326.230365,2.09956305,2.160604633,294.7166633,59.59764808,12.24118983,4.393117417,7.9125702,32.407316,0.61177613,29.73504283,52.15153058,17.50146925,5.331287333,1.947826317,3.544441108,0.00486955,0.408727977,9,631,106.5060924,1.438681542,4.193828883,0
830,26.36517613,31.54326875,86.96034044,13.39430319,11.59008431,8.322611362,19.01351275,327.5854088,2.130979381,2.084885994,298.7517481,61.98738169,12.12943463,4.348216156,7.959688794,32.08852863,0.313211047,24.5137344,56.78371462,18.38927184,5.608677962,1.969373156,3.555811225,0.003387448,0.397712192,8,599,112.7358806,1.395421275,4.116674725,0
831,26.42772383,31.52049358,88.83417267,12.89241633,11.95568,8.323444383,18.55482883,326.4266283,2.159506025,2.009125567,302.3181375,63.99960308,11.98623592,4.314089083,8.011490433,31.76929917,0.362756976,37.04268919,47.52620275,15.06829678,4.936603192,1.764373433,3.180961475,0.002669943,0.366936102,8,534,94.18005367,1.292490058,4.081817275,0
851,26.48005283,31.8426265,68.13042125,11.50876792,7.222770217,8.801024617,11.28647467,290.5771767,1.863973592,2.412648042,273.5231192,49.39240683,9.439829958,3.761386792,8.387029683,26.78625333,0.838667431,7.951906042,61.618492,29.590867,6.863389117,2.505795025,4.39294915,0.017171444,0.725713738,16,871,240.2391917,2.119321275,3.831851442,0
856,26.5526485,32.0051825,54.41004631,13.02702962,5.596708512,9.098125938,11.20393163,278.5898238,1.781452631,2.872991594,255.9163419,35.793717,8.373958475,3.645531044,8.459871113,25.35775881,4.446381488,31.33359,43.83059125,20.38926819,5.249677606,2.098388263,3.552385981,0.012621768,0.537568962,13,1211,126.9658075,1.762368163,4.462856612,1
933,23.90407425,31.06060483,61.16721617,27.00468533,5.202048883,8.082930617,7.436874358,199.2889242,1.884122592,3.297809908,231.75069,28.9737945,10.47726624,4.279547742,8.033406408,26.006064,0.778516302,63.9766305,29.28484417,5.959999667,3.742255875,1.198361692,2.262824675,0.003867121,0.285515828,12,1067,245.2875192,1.647168342,4.303971558,0
