id,수온,염분,용존무기질,암모니아성,아질산성질,수소이온농,부유물질 ,규산염,화학적산소,투명도,질소,질산성질소,인산염인,클로로필,용존산소,총인,자갈,모래,실트,점토,평균,분급,IL,AVS,TOC,출현 종수,서식밀도,생체량,다양도,ISEP,target
316,26.545904,32.266284,66.109781,14.322414,6.973147,8.9718416,11.729158,304.89847,1.9322546,2.7904819,272.39914,44.816863,9.3314918,4.0201054,8.3829996,27.493661,2.131936,21.012963,53.767258,23.087646,5.896506,2.2410797,3.9001391,0.01284487,0.57576341,13,1073,150.5453,1.7157876,4.1753817,0
317,26.55508,32.312201,64.4740755,14.5932805,6.7354198,9.020974,11.7155345,305.709195,1.92063345,2.87630835,269.995185,43.151896,9.2390858,4.0065891,8.381494,27.3501375,2.38813575,22.438908,52.4964855,22.6979295,5.8059289,2.22463505,3.86727855,0.01289227,0.56886942,13,1100,146.906715,1.7079111,4.20759885,0
401,24.0109025,31.337345,27.9022305,12.518333,2.279968,8.1532325,7.047915,158.576875,1.8201779,2.49579315,200.074455,13.1804085,7.24809105,5.2547672,8.49471355,21.7246085,0.564265085,55.127657,35.540126,8.7703222,4.17617045,1.6340227,2.9478831,0.006343885,0.383511445,13,1047,314.910615,1.74579455,4.0404867,0
402,24.1950785,31.393658,42.311762,19.336271,3.22864625,8.1448553,7.97024835,201.319945,1.8677064,2.5242482,217.344345,19.8098235,9.45864335,5.18592555,8.30281095,25.360672,0.54155427,53.524824,36.3769065,9.4800367,4.2818061,1.7440035,3.1129016,0.007426525,0.40804493,13,1051,338.00693,1.7767397,3.98111365,0
403,24.317078,31.4253205,58.5254465,27.1597845,4.25424895,8.13735175,9.072605,253.78226,1.93771035,2.54518885,237.580635,27.1598755,12.0548415,5.1291249,8.08639305,29.7927245,0.550978805,53.523564,35.9984395,9.93187365,4.3385873,1.8169592,3.22640265,0.00840757,0.424801655,14,1072,365.213195,1.81097615,3.90292845,0
404,24.4841325,31.4701005,69.032014,32.676201,4.85676235,8.13374285,9.8895276,297.53264,2.00061355,2.54084505,252.950815,31.6290825,14.0262545,5.13567775,7.91629425,33.5903995,0.575082365,54.478573,35.249894,9.6916552,4.29459405,1.7756819,3.17488075,0.00814595,0.41601806,14,1086,359.620145,1.8306092,3.9042151,0
405,24.5686845,31.4829575,74.104623,35.3686905,5.1263883,8.1337063,10.265379,322.085915,2.04824875,2.531889,260.745395,33.697776,15.0214595,5.1792677,7.8237833,35.741928,0.616843005,55.5767805,34.6235455,9.21956635,4.22649255,1.6935244,3.04088105,0.007242355,0.397435245,14,1089,337.6152,1.8339031,3.94984955,0
494,26.523798,32.106431,67.1010545,13.3681865,7.1430031,8.90902755,11.600979,299.262025,1.9190032,2.6426117,273.646845,46.5985195,9.35168685,3.9578522,8.3932507,27.308915,1.89226755,18.356011,55.4524365,24.363752,6.08124245,2.29488045,3.989609,0.01389774,0.603896625,13,1041,164.55663,1.7915342,4.12522175,0
495,26.5357205,32.201117,65.0644975,13.715151,6.87338105,8.96772065,11.605089,299.48371,1.910635,2.73453045,270.957205,44.419562,9.20649585,3.95982365,8.40053625,27.163251,2.2531306,20.3637295,53.66319,23.624007,5.952424,2.2596677,3.92855215,0.013688505,0.592021915,13,1073,157.803935,1.7742279,4.1753972,0
496,26.5461425,32.262879,63.0904205,13.9951355,6.61123695,9.02087685,11.592145,299.53884,1.8976635,2.82188205,268.21698,42.455331,9.07732945,3.94386685,8.4027328,26.9883725,2.6148749,22.5499505,51.8391615,22.902748,5.8127866,2.23056695,3.86404655,0.013404645,0.578260885,13,1107,149.68197,1.75128355,4.2276013,0
497,26.555995,32.307753,61.37953,14.2399585,6.36358765,9.06866465,11.57075,299.841875,1.8831642,2.90750715,265.618515,40.75242,8.97544395,3.9194153,8.40081845,26.805009,2.91447655,24.374916,50.316422,22.386502,5.69443365,2.2081052,3.8151397,0.013232555,0.567424455,13,1140,144.13234,1.73180425,4.2705281,0
