fid,id,left,top,right,bottom,¼ö¿Â
"1",7824,127.125,34.7,127.15,34.675,26.900927
"2",7824,127.125,34.7,127.15,34.675,26.910839
"3",7824,127.125,34.7,127.15,34.675,26.921373
"4",7824,127.125,34.7,127.15,34.675,26.895465
"5",7824,127.125,34.7,127.15,34.675,26.904936
"6",7824,127.125,34.7,127.15,34.675,26.914969
"7",7824,127.125,34.7,127.15,34.675,26.889851
"8",7824,127.125,34.7,127.15,34.675,26.898879
"9",7824,127.125,34.7,127.15,34.675,26.908411
"10",16050,128.275,34.9,128.3,34.875,26.303975
"11",16050,128.275,34.9,128.3,34.875,26.338209
"12",16050,128.275,34.9,128.3,34.875,26.39743
"13",16050,128.275,34.9,128.3,34.875,26.2679
"14",16050,128.275,34.9,128.3,34.875,26.3097
"15",16050,128.275,34.9,128.3,34.875,26.398782
"16",16050,128.275,34.9,128.3,34.875,26.231493
"17",16050,128.275,34.9,128.3,34.875,26.279284
"18",16050,128.275,34.9,128.3,34.875,26.393451
"19",11943,127.7,34.65,127.725,34.625,26.601437
"20",11943,127.7,34.65,127.725,34.625,26.585798
"21",11943,127.7,34.65,127.725,34.625,26.570717
"22",11943,127.7,34.65,127.725,34.625,26.556242
"23",11943,127.7,34.65,127.725,34.625,26.602546
"24",11943,127.7,34.65,127.725,34.625,26.587646
"25",11943,127.7,34.65,127.725,34.625,26.57328
"26",11943,127.7,34.65,127.725,34.625,26.559491
"27",11943,127.7,34.65,127.725,34.625,26.603434
"28",11943,127.7,34.65,127.725,34.625,26.589226
"29",11943,127.7,34.65,127.725,34.625,26.575524
"30",11943,127.7,34.65,127.725,34.625,26.562366
"31",16049,128.275,34.925,128.3,34.9,26.3379
"32",16049,128.275,34.925,128.3,34.9,26.355372
"33",16049,128.275,34.925,128.3,34.9,26.374053
"34",16049,128.275,34.925,128.3,34.9,26.333238
"35",16049,128.275,34.925,128.3,34.9,26.355008
"36",16049,128.275,34.925,128.3,34.9,26.381188
"37",16049,128.275,34.925,128.3,34.9,26.323916
"38",16049,128.275,34.925,128.3,34.9,26.351316
"39",16049,128.275,34.925,128.3,34.9,26.389995
"40",16049,128.275,34.925,128.3,34.9,26.303975
"41",16049,128.275,34.925,128.3,34.9,26.338209
"42",16049,128.275,34.925,128.3,34.9,26.39743
"43",11942,127.7,34.675,127.725,34.65,26.596833
"44",11942,127.7,34.675,127.725,34.65,26.578649
"45",11942,127.7,34.675,127.725,34.65,26.561025
"46",11942,127.7,34.675,127.725,34.65,26.544051
"47",11942,127.7,34.675,127.725,34.65,26.598565
"48",11942,127.7,34.675,127.725,34.65,26.581289
"49",11942,127.7,34.675,127.725,34.65,26.564589
"50",11942,127.7,34.675,127.725,34.65,26.548537
"51",11942,127.7,34.675,127.725,34.65,26.600107
"52",11942,127.7,34.675,127.725,34.65,26.583678
"53",11942,127.7,34.675,127.725,34.65,26.567822
"54",11942,127.7,34.675,127.725,34.65,26.552597
"55",11942,127.7,34.675,127.725,34.65,26.601437
"56",11942,127.7,34.675,127.725,34.65,26.585798
"57",11942,127.7,34.675,127.725,34.65,26.570717
"58",11942,127.7,34.675,127.725,34.65,26.556242
"59",16048,128.275,34.95,128.3,34.925,26.3452
"60",16048,128.275,34.95,128.3,34.925,26.357336
"61",16048,128.275,34.95,128.3,34.925,26.368683
"62",16048,128.275,34.95,128.3,34.925,26.341327
"63",16048,128.275,34.95,128.3,34.925,26.35567
"64",16048,128.275,34.95,128.3,34.925,26.369797
"65",16048,128.275,34.95,128.3,34.925,26.3379
"66",16048,128.275,34.95,128.3,34.925,26.355372
"67",16048,128.275,34.95,128.3,34.925,26.374053
"68",3722,126.55,34.325,126.575,34.3,26.599604
"69",3722,126.55,34.325,126.575,34.3,26.60258
"70",3722,126.55,34.325,126.575,34.3,26.605578
