id,left,top,right,bottom,용존무기질,암모니아성,아질산성질,수소이온농,부유물질 ,규산염,화학적산소,투명도,질소,질산성질소,인산염인,클로로필,용존산소,총인
7824,127.125,34.7,127.15,34.675,57.006173,36.193442,2.9406022,8.792469,24.845265,410.90933,1.7201218,3.4227063,231.7656,17.877145,11.277716,3.8212013,7.7216544,32.742232
7824,127.125,34.7,127.15,34.675,57.426547,37.060854,2.9318842,8.7413229,25.419139,414.11143,1.7107773,3.3603243,232.09127,17.438416,11.525577,3.767435,7.6896637,32.975154
7824,127.125,34.7,127.15,34.675,58.446011,38.358683,2.9598423,8.6927938,26.145356,420.6145,1.6943171,3.234192,233.10364,17.131722,11.952836,3.7012876,7.6411553,33.40327
7824,127.125,34.7,127.15,34.675,54.39935,35.784912,2.7435301,8.726974,25.408944,403.58871,1.7299668,3.6074214,228.92543,15.87538,10.902081,3.8172146,7.7370941,32.352291
7824,127.125,34.7,127.15,34.675,54.619529,36.434872,2.7282868,8.679914,25.877474,405.71232,1.724007,3.5678546,229.07402,15.460451,11.078193,3.7736108,7.7128071,32.512198
7824,127.125,34.7,127.15,34.675,55.624477,37.485938,2.76545,8.6452486,26.399353,411.26454,1.7098243,3.4519044,230.0651,15.37688,11.444649,3.7186498,7.6730775,32.874158
7824,127.125,34.7,127.15,34.675,51.206257,35.287293,2.497908,8.6329959,26.130322,394.70381,1.7468811,3.8498394,225.55192,13.424807,10.431023,3.8167895,7.7572575,31.87125
7824,127.125,34.7,127.15,34.675,51.103113,35.682989,2.4672877,8.587683,26.507426,395.39331,1.7454354,3.8444085,225.40417,12.956206,10.511895,3.7854648,7.7422827,31.936333
7824,127.125,34.7,127.15,34.675,52.067946,36.435971,2.5138215,8.570695,26.787631,399.7419,1.7336749,3.7413992,226.33573,13.121341,10.802472,3.744006,7.7132083,32.21642
16050,128.275,34.9,128.3,34.875,24.308541,11.25368,1.3361959,8.1868995,7.0946818,159.82456,1.3590359,7.3116659,173.6878,11.73263,7.8058163,2.0258072,7.8098428,24.028178
16050,128.275,34.9,128.3,34.875,26.533304,12.803868,1.4029678,8.1808962,7.4373274,167.37796,1.4271295,6.8454759,176.94596,12.337947,8.9600502,2.2167365,7.7984282,25.7254
16050,128.275,34.9,128.3,34.875,27.374261,13.790831,1.4108478,8.1721211,7.5347431,172.05585,1.4800273,6.5123195,178.54773,12.181888,10.08745,2.3410382,7.7665142,27.26445
16050,128.275,34.9,128.3,34.875,22.227974,10.067269,1.2737202,8.1905629,6.6901238,152.93228,1.2961714,7.7122181,170.70969,10.898889,7.0319081,1.8697076,7.8164793,22.776922
16050,128.275,34.9,128.3,34.875,25.802112,12.095845,1.4053111,8.1885961,7.2906293,161.54082,1.3710662,7.0945667,175.85073,12.311849,8.0448405,2.1153785,7.8353528,24.444701
16050,128.275,34.9,128.3,34.875,27.663228,13.35664,1.4714264,8.1846416,7.5743346,166.00173,1.417306,6.6929399,179.05903,12.844714,8.8714682,2.2679938,7.836063,25.719459
16050,128.275,34.9,128.3,34.875,20.745376,9.2339635,1.2283068,8.1934736,6.4044095,147.99316,1.2512968,7.9910868,168.39368,10.293126,6.4872986,1.7577955,7.8234971,21.875432
16050,128.275,34.9,128.3,34.875,25.158076,11.558535,1.4010314,8.1942894,7.168235,156.95613,1.3294001,7.2682405,174.64762,12.208533,7.3998877,2.0360534,7.8635141,23.503373
16050,128.275,34.9,128.3,34.875,27.467806,12.919859,1.4961759,8.1928853,7.533975,160.81633,1.3695808,6.8296367,178.61241,13.061012,8.0549991,2.1975768,7.8818517,24.611979
11943,127.7,34.65,127.725,34.625,35.468427,23.064494,1.5205391,8.2150049,17.485659,159.44259,1.2979628,4.7535136,179.7712,10.91579,5.8945473,1.9864857,8.4503785,23.310828
11943,127.7,34.65,127.725,34.625,38.951221,25.204671,1.6189292,8.2198573,17.043825,168.41965,1.365329,4.7193273,185.32017,12.155514,6.2208216,2.0476412,8.3857679,23.817316
11943,127.7,34.65,127.725,34.625,42.947436,27.622727,1.7303017,8.2260063,16.446124,179.04621,1.4460913,4.6910403,191.7742,13.616729,6.5913245,2.1145677,8.3116979,24.393935
11943,127.7,34.65,127.725,34.625,46.260459,29.595808,1.8221112,8.2312874,15.771457,188.15978,1.518482,4.6792503,197.15104,14.860064,6.8754339,2.1620843,8.2470189,24.855312
11943,127.7,34.65,127.725,34.625,24.882647,15.76546,1.2857608,8.1967375,18.01083,145.39868,1.0965659,4.8628761,160.61401,7.8883933,5.0516454,1.7680492,8.5324289,22.076577
11943,127.7,34.65,127.725,34.625,31.576518,19.919938,1.45562,8.2104548,17.294696,159.6538,1.2310343,4.8182963,171.8684,10.245052,5.6048559,1.9031487,8.4522865,22.897852
