°ÝÀÚ¹øÈ£,¿°ºÐ¿©ºÎ,Æò±Õ¿°ºÐ,¼ö¿Â¿©ºÎ,Æò±Õ¼ö¿Â
GR3_F2K12_R,Y,21.6096129032258,Y,27.258387096774193
GR3_F2K12_S,Y,21.63151612903225,Y,27.29
GR3_F2K12_T,Y,23.177612903225807,Y,27.30354838709677
GR3_F2K12_V,Y,21.433096774193555,Y,27.21741935483871
GR3_F2K12_W,Y,20.866967741935483,Y,27.268709677419363
GR3_F2K12_Y,Y,23.95948387096774,Y,27.275161290322586
GR3_F2K21_U,Y,25.505709677419354,Y,27.167419354838703
GR3_F2K14_C,N,0.0,N,0.0
GR3_F2K23_A,Y,26.28758064516129,Y,27.022580645161284
GR3_F2K14_H,Y,22.430612903225803,Y,26.803870967741936
GR3_F2K14_I,Y,23.97709677419355,Y,26.85645161290323
GR3_F2K23_F,Y,27.06951612903226,Y,26.691935483870974
GR3_F2K14_M,Y,23.212483870967738,Y,26.594193548387093
GR3_F2K14_N,Y,24.758967741935482,Y,26.610000000000003
GR3_F2K14_O,N,0.0,N,0.0
GR3_F2K23_K,Y,27.851387096774186,Y,26.429999999999993
GR3_F2K23_L,N,0.0,N,0.0
GR3_F2K14_R,Y,23.994419354838712,Y,26.58354838709678
GR3_F2K14_S,Y,25.540806451612898,Y,26.631935483870965
GR3_F2K14_T,Y,27.08687096774193,Y,26.52032258064516
GR3_F2K23_P,Y,28.633129032258072,Y,26.511290322580646
GR3_F2K23_Q,Y,29.537548387096773,Y,26.547741935483867
GR3_F2K23_R,Y,29.568354838709674,Y,26.524838709677418
GR3_F2K14_X,Y,26.322677419354843,Y,26.681612903225805
GR3_F2K14_Y,Y,27.868741935483868,Y,26.59645161290322
GR3_F2K23_U,Y,29.402870967741936,Y,26.511935483870968
GR3_F2K23_V,Y,29.431064516129037,Y,26.586774193548386
GR3_F2K23_W,Y,29.4971935483871,Y,26.56322580645161
GR3_F2K32_C,Y,25.558161290322577,Y,26.509677419354837
GR3_F2K32_D,Y,27.10445161290322,Y,26.64774193548387
GR3_F2K32_E,Y,28.650580645161288,Y,26.576129032258066
