°ÝÀÚ¹øÈ£,¿°ºÐ¿©ºÎ,Æò±Õ¿°ºÐ
GR3_F2K12_R,Y,21.6096129
GR3_F2K12_S,Y,21.63151613
GR3_F2K12_T,Y,23.1776129
GR3_F2K12_V,Y,21.43309677
GR3_F2K12_W,Y,20.86696774
GR3_F2K12_Y,Y,23.95948387
GR3_F2K21_U,Y,25.50570968
GR3_F2K14_C,N,0
GR3_F2K23_A,Y,26.28758065
GR3_F2K14_H,Y,22.4306129
GR3_F2K14_I,Y,23.97709677
GR3_F2K23_F,Y,27.06951613
GR3_F2K14_M,Y,23.21248387
GR3_F2K14_N,Y,24.75896774
GR3_F2K14_O,N,0
GR3_F2K23_K,Y,27.8513871
GR3_F2K23_L,N,0
GR3_F2K14_R,Y,23.99441935
GR3_F2K14_S,Y,25.54080645
GR3_F2K14_T,Y,27.08687097
GR3_F2K23_P,Y,28.63312903
GR3_F2K23_Q,Y,29.53754839
GR3_F2K23_R,Y,29.56835484
GR3_F2K14_X,Y,26.32267742
GR3_F2K14_Y,Y,27.86874194
GR3_F2K23_U,Y,29.40287097
GR3_F2K23_V,Y,29.43106452
GR3_F2K23_W,Y,29.49719355
GR3_F2K32_C,Y,25.55816129
GR3_F2K32_D,Y,27.10445161
GR3_F2K32_E,Y,28.65058065
GR3_F2K41_A,Y,29.29632258
GR3_F2K41_B,Y,29.35893548
GR3_F2K41_C,Y,29.42574194
GR3_F2K32_H,Y,26.67851613
GR3_F2K32_I,Y,27.88632258
GR3_F2K32_J,Y,29.16164516
GR3_F2K41_F,Y,29.22064516
GR3_F2K41_G,Y,29.33377419
GR3_F2K41_H,Y,29.508
GR3_F2K32_O,Y,29.13487097
GR3_F2K41_L,Y,29.48312903
GR3_F2K41_M,Y,29.65729032
GR3_F2K41_N,Y,29.83148387
GR3_F2K41_O,Y,30.00567742
GR3_F2K41_Q,Y,29.63245161
GR3_F2K41_R,Y,29.80670968
GR3_F2K41_S,Y,29.98080645
GR3_F2K41_T,Y,30.15503226
GR3_F2K32_X,Y,29.29370968
GR3_F2K32_Y,Y,29.48187097
GR3_F2K41_U,Y,29.60758065
GR3_F2K41_V,Y,29.78170968
GR3_F2K34_D,Y,29.53354839
GR3_F2K34_E,Y,29.58029032
GR3_F2K43_A,Y,29.75703226
GR3_F2K43_B,Y,29.93119355
GR3_F2K43_C,Y,30.10519355
GR3_F2K43_F,Y,29.9086129
GR3_F2K43_G,Y,30.08048387
GR3_F2K43_H,Y,30.2546129
GR3_F2K43_I,Y,30.42341935
GR3_F2K43_M,Y,30.32422581
GR3_F2K43_N,Y,30.3403871
GR3_F2K34_T,Y,30.02006452
GR3_F2K43_P,Y,30.18419355
GR3_F2K43_S,Y,30.22858065
GR3_F2K43_T,Y,30.24816129
GR3_F2K44_P,Y,30.26793548
GR3_F2K34_V,Y,29.97803226
GR3_F2K34_W,Y,29.83809677
GR3_F2K34_X,Y,29.8186129
GR3_F2K34_Y,Y,30.01045161
GR3_F2K43_U,Y,30.21132258
GR3_F2K43_V,Y,30.28332258
GR3_F2K43_W,Y,30.097
GR3_F2K43_X,Y,30.11667742
GR3_F2K43_Y,Y,30.13641935
GR3_F2K44_U,Y,30.156
GR3_F2O12_A,Y,30.41590323
GR3_F2O12_B,Y,30.38209677
GR3_F2O12_C,Y,30.35941935
GR3_F2O12_E,Y,30.131
GR3_F2O21_C,Y,29.98512903
GR3_F2O21_D,Y,30.00480645
GR3_F2O21_E,Y,30.02448387
GR3_F2O22_A,Y,30.04409677
GR3_F2O22_B,Y,30.06383871
GR3_F2O11_I,Y,31.28709677
GR3_F2O11_J,Y,30.90012903
GR3_F2O12_F,Y,30.79054839
GR3_F2O12_G,Y,30.57909677
GR3_F2O12_H,Y,30.45193548
GR3_F2O12_I,N,0
GR3_F2O22_F,Y,29.93219355
GR3_F2O22_G,Y,29.95193548
GR3_F2O22_H,Y,29.97158065
GR3_F2O22_I,Y,29.99122581
GR3_F2O11_N,Y,31.3016129
GR3_F2O11_O,Y,31.09580645
GR3_F2O12_K,Y,30.88593548
GR3_F2O12_L,Y,30.6716129
GR3_F2O12_M,Y,30.54448387
GR3_F2O12_N,Y,30.42929032
GR3_F2O22_L,Y,29.84009677
GR3_F2O22_M,Y,29.85967742
GR3_F2O22_N,Y,29.87929032
GR3_F2O11_R,Y,31.40945161
GR3_F2O11_S,Y,31.3823871
GR3_F2O12_P,N,0
GR3_F2O12_Q,Y,30.76419355
GR3_F2O12_R,Y,30.637
GR3_F2O11_W,Y,31.51629032
GR3_F2O11_X,N,0
GR3_F2O12_U,N,0
GR3_F2O13_C,Y,31.61170968
GR3_F2O13_D,Y,31.57319355
GR3_F2O13_E,Y,31.38012903
GR3_F2O14_A,N,0
GR3_F2O13_H,Y,31.67245161
GR3_F2O13_I,Y,31.66854839
GR3_F2O13_J,Y,31.47264516
GR3_F2O14_F,Y,31.25716129
GR3_F2O14_K,Y,31.34974194
GR3_F2O14_L,Y,31.13422581
GR3_F2O14_M,Y,31.00709677
GR3_F2O14_N,Y,30.91419355
GR3_F2O14_P,Y,31.44219355
GR3_F2O14_Q,Y,31.22677419
GR3_F2O14_R,Y,31.10167742
GR3_F2O14_S,Y,31.01341935
GR3_F2O14_T,Y,30.92490323
GR3_F2O14_V,Y,31.31925806
GR3_F2O14_W,Y,31.20096774
GR3_F2O14_X,Y,31.11270968
GR3_F2O14_Y,Y,31.02425806
GR3_F2O32_B,Y,31.41180645
GR3_F2O32_C,Y,31.30019355
GR3_F2O32_D,Y,31.21193548
GR3_F2O32_E,Y,31.12354839
GR3_F2O32_G,Y,31.50441935
GR3_F2O32_H,N,0
GR3_F2O32_I,Y,31.31112903
GR3_F2O32_J,Y,31.22274194
GR3_F2O41_F,Y,30.40445161
GR3_F2O32_N,Y,31.41035484
GR3_F2O32_O,Y,31.32203226
GR3_F2O41_K,Y,30.2926129
GR3_F2O41_L,N,0
GR3_F2O32_T,Y,31.42135484
GR3_F2O41_P,Y,30.18077419
GR3_F2O41_Q,N,0
GR3_F2O41_U,Y,30.06883871
GR3_F2O43_A,Y,29.94493548
GR3_F2O34_J,Y,30.58558065
GR3_F2O43_F,Y,29.7786129
GR3_F2O34_O,Y,30.18609677
GR3_F2O43_K,Y,28.31203226
GR3_F2O43_L,N,0
GR3_F2O43_M,N,0
GR3_F2O43_Q,Y,28.39729032
GR3_F2O43_R,Y,28.28141935
GR3_F2O43_W,Y,28.63180645
GR3_F2O43_X,N,0
GR3_F2O43_Y,Y,28.41958065
GR3_F2O44_U,Y,28.24396774
GR3_F4C21_A,Y,30.0606129
GR3_F4C21_B,Y,29.89945161
GR3_F4C21_C,Y,29.83864516
GR3_F4C21_D,Y,28.75448387
GR3_F4C21_E,Y,28.73054839
GR3_F4C22_A,Y,28.70667742
GR3_F4C21_F,Y,30.44135484
GR3_F4C12_O,Y,31.25558065
GR3_F4C21_K,Y,30.63616129
GR3_F4C12_S,Y,31.65919355
GR3_F4C12_T,Y,31.426
GR3_F4C12_Y,Y,31.59622581
GR3_F4C21_U,Y,30.83409677
GR3_F4C23_A,Y,30.98651613
GR3_F4C23_B,Y,30.90167742
GR3_G3B14_E,Y,33.32590323
GR3_F4C14_J,Y,31.29577419
GR3_F4C23_F,Y,31.1513871
GR3_F4C23_G,Y,31.06645161
GR3_F4C14_O,Y,31.04264516
GR3_F4C23_M,N,0
GR3_G3B14_N,N,0
GR3_G3B14_O,Y,33.30009677
GR3_F4C14_T,Y,30.7993871
GR3_F4C23_P,Y,31.00090323
GR3_F4C23_Q,Y,31.20216129
GR3_F4C23_R,Y,31.31122581
GR3_F4C23_S,Y,31.22629032
GR3_F4C14_Y,Y,30.55619355
GR3_F4C23_U,Y,30.7576129
GR3_F4C23_V,Y,30.95887097
GR3_F4C23_W,Y,31.16032258
GR3_F4C23_X,Y,31.36177419
GR3_F4C32_D,Y,30.23658065
GR3_F4C32_E,Y,30.31287097
GR3_G3B32_B,N,0
GR3_G3B32_D,Y,33.35670968
GR3_F4C32_I,Y,29.84090323
GR3_F4C32_M,Y,31.01719355
GR3_F4C32_N,Y,30.41022581
GR3_G3B32_L,N,0
GR3_G3B32_M,Y,33.40448387
GR3_F4C32_P,Y,32.0816129
GR3_F4C32_Q,Y,32.46551613
GR3_F4C32_R,Y,31.64477419
GR3_F4C32_S,N,0
GR3_G3B32_P,N,0
GR3_F4C32_U,Y,32.38248387
GR3_F4C32_V,Y,32.86596774
GR3_F4C32_W,Y,32.27435484
GR3_F4C33_E,Y,31.96512903
GR3_F4C34_A,Y,32.40032258
GR3_F4C34_B,Y,32.80654839
GR3_F4C34_C,N,0
GR3_G3A43_B,N,0
GR3_G3A43_C,N,0
GR3_G3A43_D,N,0
GR3_G3B33_E,N,0
GR3_F4C33_J,Y,31.96774194
GR3_F4C34_F,Y,32.32083871
GR3_F4C34_G,Y,32.68345161
GR3_F4C34_H,Y,32.84419355
GR3_G3A43_G,Y,30.19167742
GR3_G3A43_H,Y,30.18312903
GR3_G3B33_H,N,0
GR3_G3B33_I,Y,33.27306452
GR3_F4C33_N,Y,31.90048387
GR3_F4C33_O,Y,31.87351613
GR3_F4C34_K,Y,32.19783871
GR3_F4C34_L,Y,32.56035484
GR3_F4C34_M,Y,32.75190323
GR3_F4C34_N,Y,32.86996774
GR3_F4C34_O,N,0
GR3_G3A34_N,N,0
GR3_G3A34_O,N,0
GR3_G3A43_K,N,0
GR3_G3A43_L,Y,30.33822581
GR3_G3A43_M,Y,30.31445161
GR3_G3A43_N,N,0
GR3_G3B33_M,Y,33.11758065
GR3_F4C33_R,Y,31.79706452
GR3_F4C33_S,Y,31.53964516
GR3_F4C33_T,Y,31.78258065
GR3_F4C34_P,Y,32.07474194
GR3_F4C34_Q,Y,32.4373871
GR3_F4C34_R,Y,32.66548387
GR3_F4C34_S,Y,32.73229032
GR3_F4C34_T,N,0
GR3_G3A33_P,Y,30.74690323
GR3_G3A33_Q,N,0
GR3_G3A34_R,N,0
GR3_G3A34_S,N,0
GR3_G3A34_T,Y,30.53225806
GR3_G3A43_P,Y,30.50848387
GR3_G3A43_Q,Y,30.48454839
GR3_G3A43_R,Y,30.46077419
GR3_G3A44_Q,Y,30.38016129
GR3_G3A44_R,Y,30.53151613
GR3_G3A44_S,Y,30.82125806
GR3_G3A44_T,Y,32.1806129
GR3_F4C33_W,Y,31.22512903
GR3_F4C33_X,Y,31.44867742
GR3_F4C33_Y,Y,31.6913871
GR3_F4C34_U,Y,31.95183871
GR3_F4C34_V,Y,32.31419355
GR3_F4C34_W,Y,32.57887097
GR3_F4C34_X,Y,32.63222581
GR3_F4D44_X,N,0
GR3_F4D44_Y,N,0
GR3_G3A33_U,Y,30.89329032
GR3_G3A33_V,N,0
GR3_G3A34_W,N,0
GR3_G3A34_X,N,0
GR3_G3A34_Y,Y,30.67874194
GR3_G3A43_U,Y,30.65483871
GR3_G3A43_W,Y,30.60725806
GR3_G3A43_X,Y,30.58341935
GR3_G3A44_V,Y,31.01167742
GR3_G3A44_Y,Y,31.92170968
GR3_F4G11_D,Y,31.35751613
GR3_F4G11_E,Y,31.60035484
GR3_F4G12_A,Y,31.84332258
GR3_F4G12_B,Y,32.19112903
GR3_F4G12_C,Y,32.49235484
GR3_F4H22_A,N,0
GR3_F4H22_D,Y,31.08745161
GR3_F4H22_E,Y,31.0636129
GR3_G3E11_A,Y,31.03974194
GR3_G3E11_B,N,0
GR3_G3E12_B,N,0
GR3_G3E12_D,N,0
GR3_G3E12_E,Y,30.82516129
GR3_G3E21_C,Y,30.89932258
GR3_G3E21_D,Y,31.16041935
GR3_F4G12_G,Y,32.06812903
GR3_F4G12_H,Y,32.40574194
GR3_F4G12_I,N,0
GR3_F4H21_G,N,0
GR3_F4H21_H,N,0
GR3_F4H21_I,N,0
GR3_F4H21_J,N,0
GR3_F4H22_F,Y,31.30545161
GR3_F4H22_G,Y,31.28151613
GR3_F4H22_H,Y,31.25774194
GR3_F4H22_I,Y,31.23383871
GR3_F4H22_J,Y,31.21003226
GR3_G3E11_F,Y,31.18622581
GR3_G3E11_G,N,0
GR3_G3E11_H,N,0
GR3_G3E11_I,N,0
GR3_G3E11_J,N,0
GR3_G3E12_F,N,0
GR3_G3E12_G,N,0
GR3_G3E12_H,N,0
GR3_G3E12_I,N,0
GR3_G3E12_J,Y,30.97158065
GR3_G3E21_F,Y,31.40803226
GR3_G3E21_G,Y,31.59383871
GR3_G3E21_H,N,0
GR3_F4G12_M,Y,32.3076129
GR3_F4G12_N,Y,32.3723871
GR3_F4H12_N,N,0
GR3_F4H12_O,Y,31.58312903
GR3_F4H21_K,Y,31.62303226
GR3_F4H21_L,Y,31.82435484
GR3_F4H21_M,Y,31.92116129
GR3_F4H21_N,Y,31.81280645
GR3_F4H21_O,Y,31.60148387
GR3_F4H22_K,Y,31.45167742
GR3_F4H22_L,Y,31.42796774
GR3_F4H22_M,Y,31.40416129
GR3_F4H22_N,Y,31.38029032
GR3_F4H22_O,Y,31.35651613
GR3_G3E11_K,Y,31.33267742
GR3_G3E11_L,Y,31.30880645
GR3_G3E11_M,Y,31.28493548
GR3_G3E11_N,Y,31.26116129
GR3_G3E11_O,Y,31.23725806
GR3_G3E12_K,Y,31.21345161
GR3_G3E12_L,Y,31.18958065
GR3_G3E12_M,Y,31.39770968
GR3_G3E12_N,N,0
GR3_G3E12_O,Y,32.02696774
GR3_G3E21_L,Y,32.10329032
GR3_G3E21_M,N,0
GR3_G3E21_O,Y,33.01964516
