조사지역,정점,위도,경도,자갈(%),모래(%),실트(%),점토(%),평균,분급,퇴적물유형,IL(%),AVS(%),TOC(%),출현 종수,서식밀도,생체량,다양도,ISEP 등급
볼음도 영뜰,상,37°39′33.00″N,126°11′13.00″E,0,51.4,46.6,2,4.1,0.5,zS,1.9,0,0.157,13,800,578.39,1.4,5
볼음도 영뜰,중,37°38′27.00″N,126°10′23.00″E,0,69.6,28.2,2.2,3.9,0.7,zS,2.1,0.005,0.196,22,810,132.43,2.3,2
볼음도 영뜰,하,37°37′21.00″N,126°09′33.00″E,0,95,3.9,1.1,2.5,0.7,S,1.3,0,0.137,20,630,123.58,2.6,1
주문도 뒷장술,상,37°37′58.00″N,126°14′20.00″E,0,48.2,49.5,2.3,4,0.7,sZ,1.6,0,0.167,13,240,78.94,2.4,3
주문도 뒷장술,중,37°37′16.00″N,126°13′30.00″E,0,59.9,36.7,3.4,4,0.8,zS,2.1,0.058,0.23,17,620,95.82,2.2,4
주문도 뒷장술,하,37°36′34.00″N,126°12′40.00″E,0,96.8,1.7,1.5,2.2,0.5,S,1.3,0,0.118,12,670,397.02,1.7,1
영종도 마시안,상,37°26′04.00″N,126°24′44.00″E,0,12.2,80.1,7.7,4.8,1.4,sZ,2.6,0.007,0.368,9,160,324.29,1.9,1
영종도 마시안,중,37°25′40.00″N,126°24′12.00″E,0,90.3,6.9,2.8,2.9,0.9,S,1.4,0,0.153,13,200,989.64,2.5,1
영종도 마시안,하,37°25′16.00″N,126°23′40.00″E,0,96.1,2.5,1.4,2.4,0.7,S,1,0,0.205,17,350,21.72,2.5,2
영종도 신불,상,37°26′00.00″N,126°28′12.00″E,0,6.2,83,10.8,5.2,1.6,Z,2.9,0.013,0.423,14,9880,246.5,0.6,7
영종도 신불,중,37°25′26.00″N,126°28′37.00″E,0,20.5,68.5,11,5,1.8,sZ,3.5,0.018,0.51,14,350,278.53,2.1,5
영종도 신불,하,37°24′52.00″N,126°29′02.00″E,0,38.9,50.4,10.7,4.7,1.8,sZ,4,0.146,0.715,14,230,583.52,2.5,3
영종도 운남,상,37°28′40.00″N,126°33′46.00″E,0,15.2,78.4,6.4,4.8,1.4,sZ,2.7,0.006,0.434,12,1160,231.16,1.2,4
영종도 운남,중,37°28′28.00″N,126°34′03.00″E,0,32.4,61.6,6,4.4,1.2,sZ,2.2,0,0.238,12,1510,129.32,0.8,6
영종도 운남,하,37°28′16.00″N,126°34′20.00″E,0.5,79,17.5,3,3.6,0.8,(g)mS,1.7,0,0.199,11,180,217.37,2.3,3
무의도 하나개,상,37°23′10.50″N,126°24′27.50″E,0,88.4,10,1.6,3.6,0.5,zS,1.7,0,0.185,14,10740,145.67,0.3,7
