project_name,station,yyyy-mm-dd hh:mm:ss,Longitude [degrees_east],Latitude [degrees_north],총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
해양환경측정망,가로림연안1_연안,43683.49861,126.3269444,36.94638889,214.4,31.63,24.07,3.47,18.2,7.72,8.09,259.8,4.9,12.4,28.7,1.3,48.2,1.51,14.7,29.7
해양환경측정망,가로림연안2_연안,43683.51528,126.3133333,36.99,162.9,31.7,22.27,5.48,6.7,8.43,8.14,71.7,1.3,4.4,4.9,2.1,11,1.63,4.9,20
해양환경측정망,가로림연안3_연안,43684.59722,126.2,36.94166667,204.3,31.61,21.42,4.2,4,8.31,8.08,107.9,4,6,17.4,3.9,38.8,1.84,17.4,19.1
해양환경측정망,가로림연안4_연안,43683.49306,126.3336111,36.9225,223.2,31.51,24.79,3.73,21.8,7.76,8.07,261.9,4.6,11.8,28.1,0.8,44.8,1.6,12.2,31.1
해양환경측정망,가로림연안5_연안,43683.50833,126.3225,36.97083333,197.6,31.56,23.59,4.4,14.3,8.06,8.12,158.1,2.5,6.8,12.4,1.3,22,1.76,7.1,25.1
해양환경측정망,가로림연안6_연안,43683.58472,126.2608333,37.03305556,254.6,31.34,22.33,2.7,7.7,7.57,8.04,273.3,7.4,12.9,47,3.2,79.1,3.11,24.7,29
해양환경측정망,가막만1_환경관리,43692.37361,127.73417,34.7225,251.7,31.18,26.6,1.56,35.1,6.29,8.07,301.6,4.3,20.6,21.5,3,80.1,1.48,54.3,35.1
해양환경측정망,가막만2_환경관리,43687.37778,127.68833,34.68917,180.9,31.77,27.36,1.8,19.7,8.91,8.18,49.8,1.2,3.2,2.5,4.5,31,1.2,27.3,19.7
해양환경측정망,가막만3_환경관리,43687.39861,127.69028,34.62139,126.1,31.91,26.2,1.33,19.7,8.72,8.15,105.6,0.8,3.4,0.9,5,4.8,0.7,3.2,19.7
해양환경측정망,가막만4_환경관리,43687.58403,127.66111,34.7325,183.4,31.51,29.4,2.88,27.7,9.28,8.18,103,0.5,10.3,0.6,5,30.8,1.57,29.7,27.7
해양환경측정망,가막만5_환경관리,43687.57292,127.64417,34.6975,185,31.64,28.96,0.87,17.8,9.55,8.23,26.9,0.2,3.9,0.7,7,7,1.11,6,17.8
해양환경측정망,감포연안1_연안,43706.52083,129.5108333,35.79805556,131.2,32.18,24.95,1.3,4.5,7.16,8.18,106.6,0.9,2,2.6,8,4.6,1.14,1.2,11.3
해양환경측정망,감포연안2_연안,43706.46875,129.5305556,35.81555556,104.1,32.14,25.4,1.38,4.4,7.13,8.17,120.1,1.1,1,4.2,8,5.4,1.73,0,8.2
해양환경측정망,감포연안3_연안,43706.55208,129.4883333,35.7075,127.2,32.32,25.18,0.97,4,7.3,8.17,129.1,0.4,1.1,1.5,7.5,2.8,1.43,0.9,7.3
